Airline,Source,Destination,Total_Stops,Price,Day,Month,Year,Dep_Hours,Dep_Minutes,Arrival_Hours,Arrival_Minutes,hoursMinutes
IndiGo,Banglore,Delhi,non-stop,3897,24,3,2019,22,20,1,10,170
Air India,Kolkata,Banglore,2 stops,7662,1,5,2019,5,50,13,15,445
Jet Airways,Delhi,Cochin,2 stops,13882,9,6,2019,9,25,4,25,1140
IndiGo,Kolkata,Banglore,1 stop,6218,12,5,2019,18,5,23,30,325
SpiceJet,Kolkata,Banglore,non-stop,3873,24,6,2019,9,0,11,25,145
Jet Airways,Banglore,Delhi,1 stop,11087,12,3,2019,18,55,10,25,930
Jet Airways,Banglore,Delhi,1 stop,11087,12,3,2019,8,55,10,25,1530
Multiple carriers,Delhi,Cochin,1 stop,8625,27,5,2019,11,25,19,15,470
Air India,Delhi,Cochin,1 stop,8907,1,6,2019,9,45,23,0,795
IndiGo,Kolkata,Banglore,non-stop,4174,18,4,2019,20,20,22,55,155
Air India,Chennai,Kolkata,non-stop,4667,24,6,2019,11,40,13,55,135
Jet Airways,Kolkata,Banglore,1 stop,9663,9,5,2019,21,10,9,20,730
IndiGo,Kolkata,Banglore,non-stop,4804,24,4,2019,17,15,19,50,155
Air India,Delhi,Cochin,2 stops,14011,3,3,2019,16,40,19,15,1595
SpiceJet,Delhi,Cochin,1 stop,5830,15,4,2019,8,45,13,15,270
Jet Airways,Delhi,Cochin,1 stop,10262,12,6,2019,14,0,12,35,1355
Air India,Delhi,Cochin,2 stops,13381,12,6,2019,20,15,19,15,1380
Jet Airways,Delhi,Cochin,1 stop,12898,27,5,2019,16,0,12,35,1235
Air India,Banglore,Delhi,1 stop,6955,21,3,2019,22,0,13,20,920
IndiGo,Banglore,Delhi,non-stop,3943,3,4,2019,4,0,6,50,170
IndiGo,Banglore,Delhi,non-stop,4823,1,5,2019,18,55,21,50,175
Jet Airways,Kolkata,Banglore,1 stop,7757,6,5,2019,18,55,8,15,800
Jet Airways,Delhi,Cochin,2 stops,13292,9,6,2019,21,25,12,35,910
IndiGo,Delhi,Cochin,1 stop,8238,1,6,2019,21,50,3,35,345
GoAir,Delhi,Cochin,1 stop,7682,15,5,2019,7,0,12,55,355
Vistara,Banglore,Delhi,non-stop,4668,18,6,2019,9,45,12,35,170
Vistara,Chennai,Kolkata,non-stop,3687,15,6,2019,7,5,9,20,135
Vistara,Chennai,Kolkata,non-stop,3687,18,6,2019,7,5,9,20,135
Air India,Kolkata,Banglore,2 stops,13227,1,5,2019,9,50,23,15,805
IndiGo,Banglore,Delhi,non-stop,4423,6,4,2019,4,0,6,50,170
Jet Airways,Delhi,Cochin,2 stops,10919,15,6,2019,14,35,12,35,1320
Jet Airways,Delhi,Cochin,1 stop,12373,18,5,2019,7,5,12,35,330
IndiGo,Delhi,Cochin,1 stop,5894,27,6,2019,10,35,21,0,625
SpiceJet,Kolkata,Banglore,1 stop,4649,21,5,2019,15,5,20,20,315
Air India,Kolkata,Banglore,non-stop,6245,18,5,2019,14,15,16,45,150
Jet Airways,Banglore,Delhi,1 stop,19225,6,3,2019,7,0,13,15,375
Jet Airways,Delhi,Cochin,1 stop,14924,3,6,2019,7,5,19,0,715
Multiple carriers,Delhi,Cochin,1 stop,9646,21,5,2019,7,5,18,10,665
Air India,Banglore,Delhi,1 stop,8714,15,3,2019,6,45,15,15,510
Jet Airways,Delhi,Cochin,1 stop,12373,18,5,2019,20,55,19,0,1325
Air Asia,Banglore,Delhi,non-stop,3383,6,5,2019,11,10,13,55,165
Multiple carriers,Delhi,Cochin,1 stop,13062,21,3,2019,9,0,21,0,720
SpiceJet,Banglore,Delhi,non-stop,3527,24,3,2019,5,45,8,35,170
IndiGo,Banglore,Delhi,non-stop,3943,27,5,2019,4,0,6,50,170
Air India,Chennai,Kolkata,non-stop,4667,3,5,2019,11,40,13,55,135
Air India,Kolkata,Banglore,1 stop,6117,15,5,2019,19,0,11,5,965
Jet Airways,Delhi,Cochin,2 stops,11150,27,6,2019,23,5,19,0,1195
Jet Airways,Delhi,Cochin,non-stop,7202,9,3,2019,11,0,14,15,195
Jet Airways,Kolkata,Banglore,1 stop,12121,1,5,2019,9,35,10,55,1520
IndiGo,Banglore,Delhi,non-stop,4377,24,3,2019,22,20,1,10,170
IndiGo,Banglore,Delhi,non-stop,3943,18,6,2019,21,15,0,15,180
Air Asia,Banglore,Delhi,non-stop,4483,3,4,2019,23,55,2,45,170
Jet Airways,Kolkata,Banglore,1 stop,14231,24,3,2019,19,45,12,0,975
Air India,Banglore,Delhi,2 stops,17345,1,3,2019,8,50,23,55,905
Vistara,Chennai,Kolkata,non-stop,7414,6,3,2019,7,5,9,20,135
Multiple carriers,Delhi,Cochin,1 stop,8073,6,5,2019,19,0,1,30,390
Vistara,Mumbai,Hyderabad,1 stop,12395,6,3,2019,15,40,16,45,1505
Air India,Kolkata,Banglore,1 stop,8366,6,6,2019,9,25,21,50,745
Air India,Delhi,Cochin,1 stop,5117,3,4,2019,6,5,9,25,1640
Multiple carriers,Delhi,Cochin,1 stop,12524,3,6,2019,8,45,19,0,615
IndiGo,Delhi,Cochin,1 stop,7191,15,5,2019,15,0,1,30,630
Vistara,Chennai,Kolkata,non-stop,3687,24,5,2019,7,5,9,20,135
IndiGo,Delhi,Cochin,1 stop,5894,24,6,2019,10,35,21,0,625
Vistara,Banglore,Delhi,non-stop,5403,24,4,2019,9,45,12,35,170
Air India,Mumbai,Hyderabad,non-stop,3625,6,5,2019,13,55,15,25,90
Air India,Delhi,Cochin,2 stops,10861,21,5,2019,5,55,19,15,800
IndiGo,Chennai,Kolkata,non-stop,6297,12,3,2019,13,20,15,35,135
Jet Airways,Mumbai,Hyderabad,non-stop,5678,1,6,2019,7,5,8,30,85
Jet Airways,Banglore,Delhi,1 stop,9134,9,3,2019,5,45,8,15,1590
